time,gFx,gFy,gFz,gFTotal
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3930,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.3950,-0.271,-0.192,-0.904,0.963
2019-06-01 14:41:57.4020,-0.396,-0.219,-0.812,0.93
2019-06-01 14:41:57.4120,-0.431,-0.159,-0.867,0.981
2019-06-01 14:41:57.4220,-0.492,-0.164,-0.908,1.046
2019-06-01 14:41:57.4320,-0.6,-0.178,-0.834,1.043
2019-06-01 14:41:57.4420,-0.538,-0.213,-0.82,1.004
2019-06-01 14:41:57.4520,-0.471,-0.257,-0.797,0.961
2019-06-01 14:41:57.4620,-0.444,-0.209,-0.747,0.894
2019-06-01 14:41:57.4720,-0.478,-0.214,-0.782,0.941
2019-06-01 14:41:57.4820,-0.527,-0.219,-0.802,0.984
2019-06-01 14:41:57.5000,-0.551,-0.201,-0.728,0.935
2019-06-01 14:41:57.5020,-0.562,-0.21,-0.699,0.921
2019-06-01 14:41:57.5120,-0.571,-0.215,-0.751,0.968
2019-06-01 14:41:57.5220,-0.568,-0.213,-0.82,1.02
2019-06-01 14:41:57.5320,-0.587,-0.214,-0.871,1.072
2019-06-01 14:41:57.5420,-0.639,-0.183,-0.86,1.087
2019-06-01 14:41:57.5520,-0.663,-0.176,-0.821,1.07
2019-06-01 14:41:57.5620,-0.656,-0.209,-0.806,1.06
2019-06-01 14:41:57.5720,-0.621,-0.25,-0.738,0.996
2019-06-01 14:41:57.5820,-0.634,-0.252,-0.711,0.985
2019-06-01 14:41:57.6040,-0.649,-0.24,-0.73,1.006
2019-06-01 14:41:57.6040,-0.649,-0.24,-0.73,1.006
2019-06-01 14:41:57.6120,-0.648,-0.241,-0.691,0.977
2019-06-01 14:41:57.6220,-0.641,-0.225,-0.64,0.933
2019-06-01 14:41:57.6320,-0.651,-0.242,-0.573,0.9
2019-06-01 14:41:57.6420,-0.69,-0.238,-0.535,0.905
2019-06-01 14:41:57.6530,-0.749,-0.22,-0.664,1.025
2019-06-01 14:41:57.6620,-0.817,-0.232,-0.626,1.055
2019-06-01 14:41:57.6720,-0.825,-0.229,-0.581,1.035
2019-06-01 14:41:57.6820,-0.805,-0.236,-0.597,1.03
2019-06-01 14:41:57.7090,-0.766,-0.245,-0.588,0.996
2019-06-01 14:41:57.7090,-0.766,-0.245,-0.588,0.996
2019-06-01 14:41:57.7120,-0.767,-0.247,-0.565,0.984
2019-06-01 14:41:57.7220,-0.746,-0.261,-0.555,0.966
2019-06-01 14:41:57.7320,-0.749,-0.253,-0.59,0.986
2019-06-01 14:41:57.7420,-0.768,-0.281,-0.554,0.988
2019-06-01 14:41:57.7520,-0.769,-0.264,-0.617,1.021
2019-06-01 14:41:57.7620,-0.803,-0.274,-0.668,1.08
2019-06-01 14:41:57.7720,-0.781,-0.273,-0.592,1.017
2019-06-01 14:41:57.7820,-0.775,-0.28,-0.619,1.031
2019-06-01 14:41:57.8100,-0.767,-0.276,-0.594,1.009
2019-06-01 14:41:57.8100,-0.767,-0.276,-0.594,1.009
2019-06-01 14:41:57.8120,-0.775,-0.28,-0.591,1.014
2019-06-01 14:41:57.8220,-0.774,-0.276,-0.59,1.012
2019-06-01 14:41:57.8320,-0.767,-0.276,-0.594,1.009
2019-06-01 14:41:57.8420,-0.761,-0.272,-0.59,1.001
2019-06-01 14:41:57.8520,-0.747,-0.263,-0.6,0.994
2019-06-01 14:41:57.8620,-0.76,-0.269,-0.596,1.003
2019-06-01 14:41:57.8720,-0.807,-0.28,-0.564,1.024
2019-06-01 14:41:57.8820,-0.811,-0.265,-0.584,1.034
2019-06-01 14:41:57.9150,-0.798,-0.275,-0.532,0.998
2019-06-01 14:41:57.9160,-0.798,-0.275,-0.532,0.998
2019-06-01 14:41:57.9160,-0.798,-0.275,-0.532,0.998
2019-06-01 14:41:57.9220,-0.775,-0.239,-0.558,0.984
2019-06-01 14:41:57.9320,-0.759,-0.253,-0.564,0.979
2019-06-01 14:41:57.9420,-0.767,-0.234,-0.565,0.981
2019-06-01 14:41:57.9520,-0.774,-0.237,-0.565,0.987
2019-06-01 14:41:57.9620,-0.752,-0.228,-0.568,0.97
2019-06-01 14:41:57.9720,-0.715,-0.238,-0.571,0.945
2019-06-01 14:41:57.9820,-0.725,-0.224,-0.56,0.943
2019-06-01 14:41:58.0100,-0.755,-0.249,-0.595,0.993
2019-06-01 14:41:58.0100,-0.755,-0.249,-0.595,0.993
2019-06-01 14:41:58.0120,-0.781,-0.243,-0.597,1.013
2019-06-01 14:41:58.0230,-0.783,-0.244,-0.608,1.021
2019-06-01 14:41:58.0320,-0.77,-0.243,-0.603,1.008
2019-06-01 14:41:58.0420,-0.755,-0.242,-0.592,0.989
2019-06-01 14:41:58.0520,-0.753,-0.241,-0.59,0.987
2019-06-01 14:41:58.0620,-0.758,-0.242,-0.587,0.989
2019-06-01 14:41:58.0720,-0.759,-0.261,-0.593,0.998
2019-06-01 14:41:58.0820,-0.728,-0.26,-0.624,0.993
2019-06-01 14:41:58.1160,-0.697,-0.223,-0.679,0.998
2019-06-01 14:41:58.1160,-0.697,-0.223,-0.679,0.998
2019-06-01 14:41:58.1160,-0.697,-0.223,-0.679,0.998
2019-06-01 14:41:58.1220,-0.698,-0.211,-0.709,1.017
2019-06-01 14:41:58.1320,-0.692,-0.205,-0.731,1.027
2019-06-01 14:41:58.1420,-0.68,-0.197,-0.739,1.023
2019-06-01 14:41:58.1520,-0.66,-0.189,-0.734,1.005
2019-06-01 14:41:58.1620,-0.636,-0.19,-0.729,0.986
2019-06-01 14:41:58.1720,-0.625,-0.198,-0.731,0.982
2019-06-01 14:41:58.1820,-0.615,-0.214,-0.723,0.973
2019-06-01 14:41:58.2150,-0.597,-0.254,-0.718,0.968
2019-06-01 14:41:58.2150,-0.597,-0.254,-0.718,0.968
2019-06-01 14:41:58.2150,-0.597,-0.254,-0.718,0.968
2019-06-01 14:41:58.2220,-0.599,-0.236,-0.721,0.967
2019-06-01 14:41:58.2320,-0.594,-0.23,-0.745,0.98
2019-06-01 14:41:58.2420,-0.594,-0.216,-0.767,0.994
2019-06-01 14:41:58.2520,-0.589,-0.198,-0.792,1.007
2019-06-01 14:41:58.2620,-0.569,-0.197,-0.813,1.012
2019-06-01 14:41:58.2720,-0.552,-0.192,-0.827,1.013
2019-06-01 14:41:58.2820,-0.537,-0.184,-0.827,1.003
2019-06-01 14:41:58.3100,-0.489,-0.181,-0.819,0.971
2019-06-01 14:41:58.3100,-0.489,-0.181,-0.819,0.971
2019-06-01 14:41:58.3120,-0.474,-0.187,-0.833,0.976
2019-06-01 14:41:58.3220,-0.476,-0.18,-0.82,0.965
2019-06-01 14:41:58.3320,-0.48,-0.172,-0.828,0.972
2019-06-01 14:41:58.3420,-0.48,-0.165,-0.857,0.996
2019-06-01 14:41:58.3520,-0.49,-0.154,-0.851,0.994
2019-06-01 14:41:58.3620,-0.498,-0.152,-0.847,0.994
2019-06-01 14:41:58.3720,-0.496,-0.156,-0.861,1.006
2019-06-01 14:41:58.3820,-0.488,-0.16,-0.862,1.003
2019-06-01 14:41:58.4160,-0.453,-0.17,-0.852,0.98
2019-06-01 14:41:58.4160,-0.453,-0.17,-0.852,0.98
2019-06-01 14:41:58.4160,-0.453,-0.17,-0.852,0.98
2019-06-01 14:41:58.4220,-0.443,-0.177,-0.861,0.984
2019-06-01 14:41:58.4320,-0.442,-0.17,-0.856,0.978
2019-06-01 14:41:58.4420,-0.444,-0.155,-0.852,0.973
2019-06-01 14:41:58.4520,-0.445,-0.159,-0.857,0.979
2019-06-01 14:41:58.4620,-0.448,-0.157,-0.869,0.99
2019-06-01 14:41:58.4720,-0.451,-0.156,-0.893,1.013
2019-06-01 14:41:58.4820,-0.464,-0.159,-0.908,1.032
2019-06-01 14:41:58.5100,-0.481,-0.155,-0.9,1.032
2019-06-01 14:41:58.5100,-0.481,-0.155,-0.9,1.032
2019-06-01 14:41:58.5120,-0.465,-0.171,-0.897,1.025
2019-06-01 14:41:58.5230,-0.446,-0.182,-0.88,1.003
2019-06-01 14:41:58.5320,-0.426,-0.191,-0.87,0.987
2019-06-01 14:41:58.5420,-0.415,-0.198,-0.872,0.986
2019-06-01 14:41:58.5520,-0.415,-0.198,-0.869,0.983
2019-06-01 14:41:58.5620,-0.417,-0.191,-0.876,0.989
2019-06-01 14:41:58.5720,-0.424,-0.183,-0.889,1.002
2019-06-01 14:41:58.5820,-0.431,-0.18,-0.892,1.007
2019-06-01 14:41:58.6160,-0.411,-0.18,-0.905,1.01
2019-06-01 14:41:58.6170,-0.411,-0.18,-0.905,1.01
2019-06-01 14:41:58.6170,-0.411,-0.18,-0.905,1.01
2019-06-01 14:41:58.6220,-0.393,-0.188,-0.901,1.001
2019-06-01 14:41:58.6320,-0.38,-0.192,-0.893,0.989
2019-06-01 14:41:58.6420,-0.368,-0.194,-0.887,0.98
2019-06-01 14:41:58.6520,-0.355,-0.201,-0.895,0.984
2019-06-01 14:41:58.6620,-0.333,-0.216,-0.895,0.979
2019-06-01 14:41:58.6720,-0.328,-0.22,-0.891,0.975
2019-06-01 14:41:58.6820,-0.317,-0.212,-0.902,0.979
2019-06-01 14:41:58.7100,-0.309,-0.183,-0.928,0.995
2019-06-01 14:41:58.7110,-0.309,-0.183,-0.928,0.995
2019-06-01 14:41:58.7130,-0.302,-0.175,-0.938,1.001
2019-06-01 14:41:58.7220,-0.295,-0.174,-0.942,1.002
2019-06-01 14:41:58.7320,-0.29,-0.172,-0.945,1.003
2019-06-01 14:41:58.7420,-0.288,-0.175,-0.941,1.0
2019-06-01 14:41:58.7520,-0.285,-0.185,-0.932,0.992
2019-06-01 14:41:58.7620,-0.281,-0.193,-0.921,0.982
2019-06-01 14:41:58.7720,-0.276,-0.202,-0.907,0.969
2019-06-01 14:41:58.7820,-0.268,-0.208,-0.894,0.956
2019-06-01 14:41:58.8170,-0.239,-0.202,-0.887,0.941
2019-06-01 14:41:58.8170,-0.239,-0.202,-0.887,0.941
2019-06-01 14:41:58.8170,-0.239,-0.202,-0.887,0.941
2019-06-01 14:41:58.8220,-0.239,-0.186,-0.9,0.95
2019-06-01 14:41:58.8320,-0.247,-0.181,-0.896,0.947
2019-06-01 14:41:58.8420,-0.251,-0.176,-0.89,0.941
2019-06-01 14:41:58.8520,-0.246,-0.179,-0.901,0.951
2019-06-01 14:41:58.8620,-0.239,-0.193,-0.899,0.95
2019-06-01 14:41:58.8720,-0.234,-0.198,-0.882,0.934
2019-06-01 14:41:58.8820,-0.224,-0.192,-0.879,0.927
2019-06-01 14:41:58.9110,-0.209,-0.187,-0.894,0.937
2019-06-01 14:41:58.9110,-0.209,-0.187,-0.894,0.937
2019-06-01 14:41:58.9130,-0.205,-0.187,-0.9,0.942
2019-06-01 14:41:58.9220,-0.207,-0.189,-0.904,0.946
2019-06-01 14:41:58.9320,-0.227,-0.183,-0.919,0.964
2019-06-01 14:41:58.9420,-0.223,-0.193,-0.924,0.97
2019-06-01 14:41:58.9520,-0.217,-0.221,-0.917,0.968
2019-06-01 14:41:58.9620,-0.246,-0.204,-0.927,0.981
2019-06-01 14:41:58.9720,-0.236,-0.205,-0.915,0.967
2019-06-01 14:41:58.9820,-0.222,-0.234,-0.93,0.984
2019-06-01 14:41:59.0170,-0.323,-0.341,-1.031,1.133
2019-06-01 14:41:59.0170,-0.323,-0.341,-1.031,1.133
2019-06-01 14:41:59.0170,-0.323,-0.341,-1.031,1.133
2019-06-01 14:41:59.0220,-0.309,-0.322,-0.989,1.085
2019-06-01 14:41:59.0320,-0.309,-0.297,-0.952,1.044
2019-06-01 14:41:59.0420,-0.274,-0.303,-0.925,1.011
2019-06-01 14:41:59.0520,-0.259,-0.327,-0.927,1.017
2019-06-01 14:41:59.0620,-0.262,-0.351,-0.956,1.052
2019-06-01 14:41:59.0720,-0.255,-0.363,-0.965,1.062
2019-06-01 14:41:59.0820,-0.264,-0.357,-0.966,1.063
2019-06-01 14:41:59.1110,-0.261,-0.281,-0.91,0.988
2019-06-01 14:41:59.1110,-0.261,-0.281,-0.91,0.988
2019-06-01 14:41:59.1130,-0.263,-0.275,-0.904,0.981
2019-06-01 14:41:59.1220,-0.253,-0.316,-0.914,1.0
2019-06-01 14:41:59.1320,-0.252,-0.368,-0.945,1.045
2019-06-01 14:41:59.1420,-0.252,-0.376,-0.946,1.049
2019-06-01 14:41:59.1520,-0.224,-0.358,-0.895,0.99
2019-06-01 14:41:59.1620,-0.205,-0.34,-0.866,0.953
2019-06-01 14:41:59.1720,-0.204,-0.361,-0.899,0.99
2019-06-01 14:41:59.1820,-0.194,-0.344,-0.88,0.965
2019-06-01 14:41:59.2170,-0.18,-0.317,-0.9,0.971
2019-06-01 14:41:59.2170,-0.18,-0.317,-0.9,0.971
2019-06-01 14:41:59.2170,-0.18,-0.317,-0.9,0.971
2019-06-01 14:41:59.2220,-0.187,-0.293,-0.905,0.969
2019-06-01 14:41:59.2320,-0.193,-0.278,-0.925,0.985
2019-06-01 14:41:59.2420,-0.197,-0.266,-0.934,0.991
2019-06-01 14:41:59.2520,-0.194,-0.257,-0.922,0.977
2019-06-01 14:41:59.2620,-0.19,-0.253,-0.922,0.975
2019-06-01 14:41:59.2720,-0.188,-0.25,-0.913,0.965
2019-06-01 14:41:59.2820,-0.19,-0.25,-0.903,0.956
2019-06-01 14:41:59.3160,-0.236,-0.257,-0.905,0.97
2019-06-01 14:41:59.3160,-0.236,-0.257,-0.905,0.97
2019-06-01 14:41:59.3160,-0.236,-0.257,-0.905,0.97
2019-06-01 14:41:59.3230,-0.251,-0.26,-0.903,0.973
2019-06-01 14:41:59.3320,-0.262,-0.262,-0.902,0.975
2019-06-01 14:41:59.3420,-0.263,-0.263,-0.9,0.974
2019-06-01 14:41:59.3520,-0.258,-0.264,-0.891,0.964
2019-06-01 14:41:59.3620,-0.251,-0.26,-0.885,0.956
2019-06-01 14:41:59.3720,-0.252,-0.253,-0.891,0.96
2019-06-01 14:41:59.3820,-0.254,-0.246,-0.886,0.954
2019-06-01 14:41:59.4110,-0.254,-0.236,-0.902,0.966
2019-06-01 14:41:59.4110,-0.254,-0.236,-0.902,0.966
2019-06-01 14:41:59.4130,-0.253,-0.236,-0.901,0.965
2019-06-01 14:41:59.4220,-0.25,-0.238,-0.897,0.961
2019-06-01 14:41:59.4320,-0.241,-0.243,-0.889,0.953
2019-06-01 14:41:59.4420,-0.23,-0.246,-0.882,0.944
2019-06-01 14:41:59.4520,-0.22,-0.247,-0.877,0.937
2019-06-01 14:41:59.4620,-0.215,-0.243,-0.88,0.938
2019-06-01 14:41:59.4720,-0.212,-0.239,-0.888,0.944
2019-06-01 14:41:59.4820,-0.213,-0.235,-0.904,0.958
2019-06-01 14:41:59.5160,-0.224,-0.212,-0.942,0.991
2019-06-01 14:41:59.5160,-0.224,-0.212,-0.942,0.991
2019-06-01 14:41:59.5160,-0.224,-0.212,-0.942,0.991
2019-06-01 14:41:59.5220,-0.241,-0.219,-0.964,1.018
2019-06-01 14:41:59.5320,-0.292,-0.218,-0.984,1.049
2019-06-01 14:41:59.5420,-0.279,-0.215,-0.961,1.024
2019-06-01 14:41:59.5520,-0.248,-0.255,-0.92,0.986
2019-06-01 14:41:59.5620,-0.265,-0.27,-0.92,0.995
2019-06-01 14:41:59.5720,-0.285,-0.25,-0.923,0.998
2019-06-01 14:41:59.5820,-0.28,-0.25,-0.914,0.988
2019-06-01 14:41:59.6100,-0.273,-0.254,-0.931,1.003
2019-06-01 14:41:59.6100,-0.273,-0.254,-0.931,1.003
2019-06-01 14:41:59.6120,-0.272,-0.26,-0.933,1.006
2019-06-01 14:41:59.6220,-0.267,-0.262,-0.941,1.013
2019-06-01 14:41:59.6320,-0.256,-0.259,-0.939,1.007
2019-06-01 14:41:59.6420,-0.243,-0.262,-0.93,0.996
2019-06-01 14:41:59.6520,-0.231,-0.267,-0.929,0.994
2019-06-01 14:41:59.6620,-0.212,-0.265,-0.933,0.993
2019-06-01 14:41:59.6720,-0.19,-0.262,-0.934,0.988
2019-06-01 14:41:59.6820,-0.18,-0.271,-0.933,0.988
2019-06-01 14:41:59.7150,-0.208,-0.282,-0.965,1.027
2019-06-01 14:41:59.7150,-0.208,-0.282,-0.965,1.027
2019-06-01 14:41:59.7160,-0.208,-0.282,-0.965,1.027
2019-06-01 14:41:59.7220,-0.205,-0.282,-0.975,1.035
2019-06-01 14:41:59.7320,-0.197,-0.268,-0.983,1.038
2019-06-01 14:41:59.7420,-0.186,-0.257,-0.988,1.038
2019-06-01 14:41:59.7520,-0.171,-0.252,-0.988,1.034
2019-06-01 14:41:59.7620,-0.159,-0.249,-0.996,1.039
2019-06-01 14:41:59.7720,-0.15,-0.247,-1.0,1.041
2019-06-01 14:41:59.7820,-0.14,-0.243,-1.001,1.04
2019-06-01 14:41:59.8100,-0.123,-0.231,-0.986,1.02
2019-06-01 14:41:59.8110,-0.123,-0.231,-0.986,1.02
2019-06-01 14:41:59.8130,-0.114,-0.224,-0.977,1.009
2019-06-01 14:41:59.8230,-0.108,-0.219,-0.959,0.99
2019-06-01 14:41:59.8320,-0.103,-0.214,-0.945,0.974
2019-06-01 14:41:59.8420,-0.1,-0.211,-0.93,0.959
2019-06-01 14:41:59.8520,-0.1,-0.207,-0.924,0.952
2019-06-01 14:41:59.8620,-0.104,-0.206,-0.921,0.949
2019-06-01 14:41:59.8720,-0.119,-0.216,-0.921,0.953
2019-06-01 14:41:59.8820,-0.134,-0.228,-0.922,0.959
2019-06-01 14:41:59.9160,-0.177,-0.24,-0.902,0.95
2019-06-01 14:41:59.9170,-0.177,-0.24,-0.902,0.95
2019-06-01 14:41:59.9170,-0.177,-0.24,-0.902,0.95
2019-06-01 14:41:59.9220,-0.171,-0.251,-0.922,0.971
2019-06-01 14:41:59.9320,-0.194,-0.233,-0.933,0.981
2019-06-01 14:41:59.9420,-0.194,-0.209,-0.932,0.975
2019-06-01 14:41:59.9520,-0.174,-0.204,-0.948,0.985
2019-06-01 14:41:59.9620,-0.164,-0.201,-0.972,1.006
2019-06-01 14:41:59.9720,-0.163,-0.191,-0.965,0.997
2019-06-01 14:41:59.9820,-0.169,-0.196,-0.955,0.989
2019-06-01 14:42:00.0110,-0.174,-0.209,-0.935,0.974
2019-06-01 14:42:00.0120,-0.174,-0.209,-0.935,0.974
2019-06-01 14:42:00.0150,-0.176,-0.218,-0.924,0.966
2019-06-01 14:42:00.0220,-0.179,-0.226,-0.928,0.972
2019-06-01 14:42:00.0320,-0.188,-0.229,-0.915,0.962
2019-06-01 14:42:00.0420,-0.193,-0.221,-0.913,0.959
2019-06-01 14:42:00.0520,-0.193,-0.234,-0.911,0.96
2019-06-01 14:42:00.0620,-0.192,-0.244,-0.897,0.949
2019-06-01 14:42:00.0720,-0.207,-0.238,-0.9,0.954
2019-06-01 14:42:00.0820,-0.215,-0.24,-0.908,0.963
2019-06-01 14:42:00.1110,-0.218,-0.243,-0.934,0.989
2019-06-01 14:42:00.1110,-0.218,-0.243,-0.934,0.989
2019-06-01 14:42:00.1130,-0.215,-0.238,-0.94,0.993
2019-06-01 14:42:00.1220,-0.215,-0.227,-0.949,0.999
2019-06-01 14:42:00.1320,-0.207,-0.219,-0.958,1.004
2019-06-01 14:42:00.1420,-0.2,-0.212,-0.965,1.008
2019-06-01 14:42:00.1520,-0.184,-0.208,-0.966,1.005
2019-06-01 14:42:00.1620,-0.188,-0.197,-0.965,1.003
2019-06-01 14:42:00.1720,-0.179,-0.202,-0.975,1.012
2019-06-01 14:42:00.1820,-0.179,-0.218,-0.974,1.014
2019-06-01 14:42:00.2100,-0.19,-0.229,-0.958,1.003
2019-06-01 14:42:00.2100,-0.19,-0.229,-0.958,1.003
2019-06-01 14:42:00.2120,-0.189,-0.237,-0.953,1.0
2019-06-01 14:42:00.2220,-0.187,-0.244,-0.948,0.997
2019-06-01 14:42:00.2320,-0.182,-0.248,-0.943,0.992
2019-06-01 14:42:00.2420,-0.178,-0.249,-0.938,0.987
2019-06-01 14:42:00.2520,-0.171,-0.251,-0.936,0.984
2019-06-01 14:42:00.2620,-0.166,-0.251,-0.944,0.991
2019-06-01 14:42:00.2720,-0.167,-0.245,-0.943,0.989
2019-06-01 14:42:00.2820,-0.168,-0.239,-0.954,0.998
2019-06-01 14:42:00.3160,-0.164,-0.226,-0.978,1.017
2019-06-01 14:42:00.3160,-0.164,-0.226,-0.978,1.017
2019-06-01 14:42:00.3160,-0.164,-0.226,-0.978,1.017
2019-06-01 14:42:00.3230,-0.167,-0.222,-0.978,1.017
2019-06-01 14:42:00.3320,-0.168,-0.218,-0.978,1.016
2019-06-01 14:42:00.3420,-0.167,-0.209,-0.966,1.002
2019-06-01 14:42:00.3520,-0.167,-0.2,-0.965,1.0
2019-06-01 14:42:00.3620,-0.168,-0.194,-0.967,1.0
2019-06-01 14:42:00.3720,-0.176,-0.189,-0.968,1.002
2019-06-01 14:42:00.3820,-0.18,-0.185,-0.972,1.006
2019-06-01 14:42:00.4110,-0.188,-0.18,-0.961,0.996
2019-06-01 14:42:00.4110,-0.188,-0.18,-0.961,0.996
2019-06-01 14:42:00.4130,-0.19,-0.181,-0.959,0.994
2019-06-01 14:42:00.4220,-0.193,-0.183,-0.948,0.985
2019-06-01 14:42:00.4320,-0.199,-0.185,-0.938,0.977
2019-06-01 14:42:00.4420,-0.203,-0.19,-0.93,0.971
2019-06-01 14:42:00.4520,-0.21,-0.194,-0.927,0.97
2019-06-01 14:42:00.4620,-0.215,-0.2,-0.921,0.967
2019-06-01 14:42:00.4720,-0.216,-0.212,-0.917,0.966
2019-06-01 14:42:00.4820,-0.219,-0.22,-0.911,0.962
2019-06-01 14:42:00.5160,-0.232,-0.231,-0.902,0.96
2019-06-01 14:42:00.5160,-0.232,-0.231,-0.902,0.96
2019-06-01 14:42:00.5160,-0.232,-0.231,-0.902,0.96
2019-06-01 14:42:00.5220,-0.231,-0.231,-0.908,0.965
2019-06-01 14:42:00.5320,-0.227,-0.229,-0.917,0.972
2019-06-01 14:42:00.5420,-0.223,-0.227,-0.925,0.978
2019-06-01 14:42:00.5520,-0.218,-0.224,-0.933,0.984
2019-06-01 14:42:00.5620,-0.213,-0.221,-0.941,0.99
2019-06-01 14:42:00.5720,-0.21,-0.218,-0.948,0.995
2019-06-01 14:42:00.5820,-0.208,-0.216,-0.957,1.003
2019-06-01 14:42:00.6130,-0.22,-0.208,-0.988,1.033
2019-06-01 14:42:00.6140,-0.22,-0.208,-0.988,1.033
2019-06-01 14:42:00.6140,-0.22,-0.208,-0.988,1.033
2019-06-01 14:42:00.6220,-0.22,-0.207,-0.99,1.035
2019-06-01 14:42:00.6320,-0.216,-0.207,-0.987,1.031
2019-06-01 14:42:00.6420,-0.216,-0.21,-0.984,1.029
2019-06-01 14:42:00.6520,-0.22,-0.21,-0.979,1.025
2019-06-01 14:42:00.6620,-0.217,-0.209,-0.972,1.018
2019-06-01 14:42:00.6730,-0.212,-0.208,-0.964,1.009
2019-06-01 14:42:00.6820,-0.208,-0.201,-0.957,1.0
2019-06-01 14:42:00.7180,-0.2,-0.198,-0.934,0.975
2019-06-01 14:42:00.7180,-0.2,-0.198,-0.934,0.975
2019-06-01 14:42:00.7180,-0.2,-0.198,-0.934,0.975
2019-06-01 14:42:00.7220,-0.205,-0.199,-0.927,0.97
2019-06-01 14:42:00.7320,-0.209,-0.199,-0.923,0.967
2019-06-01 14:42:00.7420,-0.214,-0.2,-0.92,0.966
2019-06-01 14:42:00.7520,-0.22,-0.203,-0.916,0.964
2019-06-01 14:42:00.7620,-0.226,-0.206,-0.911,0.961
2019-06-01 14:42:00.7730,-0.233,-0.211,-0.911,0.964
2019-06-01 14:42:00.7820,-0.236,-0.215,-0.916,0.97
2019-06-01 14:42:00.8120,-0.24,-0.211,-0.932,0.985
2019-06-01 14:42:00.8130,-0.24,-0.211,-0.932,0.985
2019-06-01 14:42:00.8130,-0.24,-0.211,-0.932,0.985
2019-06-01 14:42:00.8220,-0.241,-0.21,-0.935,0.988
2019-06-01 14:42:00.8320,-0.241,-0.208,-0.939,0.991
2019-06-01 14:42:00.8430,-0.236,-0.213,-0.946,0.998
2019-06-01 14:42:00.8520,-0.229,-0.216,-0.954,1.005
2019-06-01 14:42:00.8620,-0.222,-0.214,-0.964,1.012
2019-06-01 14:42:00.8720,-0.213,-0.212,-0.972,1.017
2019-06-01 14:42:00.8820,-0.206,-0.208,-0.981,1.024
2019-06-01 14:42:00.9180,-0.193,-0.205,-0.977,1.017
2019-06-01 14:42:00.9180,-0.193,-0.205,-0.977,1.017
2019-06-01 14:42:00.9180,-0.193,-0.205,-0.977,1.017
2019-06-01 14:42:00.9220,-0.192,-0.208,-0.971,1.011
2019-06-01 14:42:00.9320,-0.199,-0.204,-0.967,1.008
2019-06-01 14:42:00.9430,-0.201,-0.206,-0.952,0.995
2019-06-01 14:42:00.9520,-0.202,-0.205,-0.947,0.99
2019-06-01 14:42:00.9620,-0.199,-0.199,-0.95,0.991
2019-06-01 14:42:00.9720,-0.19,-0.196,-0.951,0.989
2019-06-01 14:42:00.9820,-0.179,-0.193,-0.953,0.989
2019-06-01 14:42:01.0120,-0.147,-0.183,-0.949,0.978
2019-06-01 14:42:01.0120,-0.147,-0.183,-0.949,0.978
2019-06-01 14:42:01.0140,-0.147,-0.183,-0.949,0.978
2019-06-01 14:42:01.0230,-0.143,-0.18,-0.948,0.975
2019-06-01 14:42:01.0320,-0.14,-0.175,-0.945,0.971
2019-06-01 14:42:01.0420,-0.14,-0.171,-0.944,0.97
2019-06-01 14:42:01.0520,-0.144,-0.169,-0.944,0.97
2019-06-01 14:42:01.0620,-0.154,-0.169,-0.945,0.972
2019-06-01 14:42:01.0720,-0.167,-0.171,-0.945,0.975
2019-06-01 14:42:01.0820,-0.179,-0.176,-0.943,0.976
2019-06-01 14:42:01.1170,-0.199,-0.192,-0.934,0.974
2019-06-01 14:42:01.1170,-0.199,-0.192,-0.934,0.974
2019-06-01 14:42:01.1170,-0.199,-0.192,-0.934,0.974
2019-06-01 14:42:01.1230,-0.196,-0.197,-0.932,0.973
2019-06-01 14:42:01.1320,-0.192,-0.198,-0.937,0.977
2019-06-01 14:42:01.1420,-0.188,-0.198,-0.946,0.985
2019-06-01 14:42:01.1520,-0.18,-0.195,-0.956,0.992
2019-06-01 14:42:01.1620,-0.171,-0.19,-0.963,0.996
2019-06-01 14:42:01.1720,-0.165,-0.188,-0.967,0.999
2019-06-01 14:42:01.1820,-0.164,-0.185,-0.97,1.001
2019-06-01 14:42:01.2120,-0.17,-0.187,-0.966,0.999
2019-06-01 14:42:01.2120,-0.17,-0.187,-0.966,0.999
2019-06-01 14:42:01.2140,-0.17,-0.187,-0.966,0.999
2019-06-01 14:42:01.2230,-0.176,-0.189,-0.961,0.995
2019-06-01 14:42:01.2320,-0.178,-0.188,-0.961,0.995
2019-06-01 14:42:01.2420,-0.175,-0.185,-0.961,0.994
2019-06-01 14:42:01.2520,-0.168,-0.18,-0.961,0.992
2019-06-01 14:42:01.2620,-0.162,-0.171,-0.96,0.988
2019-06-01 14:42:01.2720,-0.16,-0.165,-0.957,0.984
2019-06-01 14:42:01.2820,-0.164,-0.162,-0.957,0.984
2019-06-01 14:42:01.3180,-0.184,-0.172,-0.957,0.99
2019-06-01 14:42:01.3180,-0.184,-0.172,-0.957,0.99
2019-06-01 14:42:01.3180,-0.184,-0.172,-0.957,0.99
